RULE 1: IF meanEntropy <= 2.658132314682007 and autoCorrEntropy <= 0.9989591240882874 THEN output = 1, COVERING: 0.5931131412508784, ERROR: 0.04416761041902606
RULE 2: IF meanEntropy <= 2.658132314682007 THEN output = 1, COVERING: 0.5848119233498935, ERROR: 0.041860465116279055
RULE 3: IF meanEntropy <= 2.660180926322937 and percentile75Entropy <= 2.6744799613952637 THEN output = 1, COVERING: 0.5765895953757225, ERROR: 0.04431137724550893
RULE 4: IF meanEntropy <= 2.6630786657333374 and medianEntropy <= 2.654175043106079 THEN output = 1, COVERING: 0.5102328863796753, ERROR: 0.030831099195710476
RULE 5: IF meanEntropy <= 2.658132314682007 and medianEntropy <= 2.6666250228881836 and percentile75Entropy <= 2.6662650108337402 THEN output = 1, COVERING: 0.38146551724137934, ERROR: 0.013011152416356864
RULE 6: IF meanEntropy <= 2.6601980924606323 and medianEntropy > 2.646049976348877 THEN output = 1, COVERING: 0.319375443577005, ERROR: 0.09456740442655931
RULE 7: IF meanEntropy <= 2.658819079399109 and percentile75Entropy > 2.6662650108337402 THEN output = 1, COVERING: 0.2275618374558304, ERROR: 0.0980392156862745
RULE 8: IF meanEntropy <= 2.658132314682007 and medianEntropy <= 2.6666250228881836 and percentile75Entropy > 2.6662650108337402 THEN output = 1, COVERING: 0.20186781609195403, ERROR: 0.07868852459016396
RULE 9: IF meanEntropy <= 2.6694496870040894 and meanEntropy > 2.658808708190918 and autoCorrEntropy > 0.9964880645275116 THEN output = 1, COVERING: 0.18014184397163122, ERROR: 0.3153638814016172
RULE 10: IF meanEntropy <= 2.664484739303589 and meanEntropy > 2.658146381378174 and rangeEntropy > 0.15039999783039093 THEN output = 1, COVERING: 0.10608203677510608, ERROR: 0.23469387755102045
RULE 11: IF meanEntropy > 2.662570357322693 and medianEntropy <= 2.6666250228881836 THEN output = 1, COVERING: 0.07758620689655173, ERROR: 0.4
RULE 12: IF meanEntropy <= 2.6641688346862793 and meanEntropy > 2.658808708190918 and rangeEntropy <= 0.15879999846220016 THEN output = 1, COVERING: 0.03897944720056697, ERROR: 0.367816091954023
RULE 13: IF meanEntropy > 2.667516827583313 and autoCorrEntropy > 0.9980703294277191 and percentile75Entropy <= 2.6972150802612305 THEN output = 1, COVERING: 0.02198581560283688, ERROR: 0.47457627118644063
